City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Teseney,ER,84.02,few clouds,15.11,36.6575,Sabrin Hotel
454,Madimba,TZ,77.72,light rain,-10.4,40.3333,
456,Little Rock,US,75.99,clear sky,34.7465,-92.2896,DoubleTree by Hilton Hotel Little Rock
458,Kroya,ID,79.05,moderate rain,-7.6331,109.2461,RUSTANTO Fam
460,Fare,PF,81.91,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
463,Rairangpur,IN,83.68,overcast clouds,22.2676,86.1751,Rairangpur Town PS
464,La Macarena,CO,78.89,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
465,Pancas,BR,87.67,clear sky,-19.225,-40.8514,Hotel Acácia
468,Gamba,GA,80.82,broken clouds,-2.65,10.0,
476,Jagtial,IN,87.12,broken clouds,18.8,78.9333,Somulaxmni water plant
478,Buraydah,SA,75.2,clear sky,26.326,43.975,فندق راحة السلام
479,Bombay,IN,84.2,mist,19.0144,72.8479,Hotel Avon Ruby-Dadar
487,Lalmohan,BD,80.89,scattered clouds,22.3384,90.7419,Sundorbon courier service
488,Shahpura,IN,84.2,haze,27.3833,75.9667,Shahpura Haveli
491,Ugoofaaru,MV,83.5,few clouds,5.6667,73.0,Ungoofaaru Inn
492,Tura,IN,78.12,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
494,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
495,Qui Nhon,VN,75.11,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
499,Andrews,US,84.2,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
500,Abu Dhabi,AE,89.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
505,Umm Kaddadah,SD,80.1,broken clouds,13.6017,26.6876,
506,Mayumba,GA,81.73,broken clouds,-3.432,10.6554,LIKWALE LODGE
508,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
510,Wanning,CN,75.02,scattered clouds,18.8003,110.3967,Paradise Hotel
512,Miranda,CO,84.2,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
514,Bekwai,GH,87.15,scattered clouds,6.4534,-1.5774,Annex Plaza Hotel
522,San Policarpo,PH,78.48,scattered clouds,12.1791,125.5072,JM Lodge
523,Sola,VU,80.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
526,Eten,PE,77.0,clear sky,-6.9081,-79.8642,Hospedaje Sol Radiante
532,Isugod,PH,77.83,scattered clouds,9.3408,118.1196,
535,Chimore,BO,83.34,overcast clouds,-16.9833,-65.1333,Bichito
536,Camingawan,PH,77.5,overcast clouds,9.9036,122.8417,
538,Chauk,MM,87.1,scattered clouds,20.8833,94.8167,Bo Khin Guest House
539,Pilar,BR,75.2,mist,-9.5972,-35.9567,Pousada e churrascaria Manguaba
540,Palembang,ID,75.99,heavy intensity rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
542,Santa Maria,BR,75.2,broken clouds,-29.6842,-53.8069,Hotel Morotin
544,Boffa,GN,82.42,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
545,Jaisalmer,IN,88.41,clear sky,26.9147,70.9181,Hotel Fifu
551,Adre,TD,83.8,clear sky,13.4667,22.2,
554,Mananjary,MG,76.23,overcast clouds,-21.2167,48.3333,Vahiny Lodge
558,Cacoal,BR,84.4,overcast clouds,-11.4386,-61.4472,Hotel BR 364
560,Umm Bab,QA,80.6,clear sky,25.2142,50.8072,mike beach
566,Mayo,US,77.0,broken clouds,38.8876,-76.5119,Resorts Resource Group International
567,Takoradi,GH,83.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
578,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
581,Iquitos,PE,87.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
582,Penukonda,IN,80.46,clear sky,14.0833,77.5833,The Hotel Spider
583,Pyu,MM,78.76,broken clouds,18.4833,96.4333,Mr Bo Bo
586,Garowe,SO,76.46,few clouds,8.4054,48.4845,Curubo Hotel
589,Mtambile,TZ,80.19,broken clouds,-5.3833,39.7,
591,Lamar,US,75.99,clear sky,33.6668,-95.5836,Kings Inn Paris TX
599,Najran,SA,89.6,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
608,Kavaratti,IN,83.77,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
614,Mumford,GH,82.27,broken clouds,5.2618,-0.759,Spanish Villa
616,Prado,BR,81.7,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
617,Penha,BR,82.4,clear sky,-26.7694,-48.6458,Hotel Mirante Do Parque
628,Mogapi,BW,75.2,clear sky,-22.323,27.8349,
629,Udayagiri,IN,76.64,overcast clouds,20.1333,84.3833,Balaram panda
630,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
634,Gigmoto,PH,78.22,broken clouds,13.7796,124.39,Cj's Travellers Inn
635,Lakhimpur,IN,80.33,clear sky,27.95,80.7667,Hotel Sarna
638,Nabire,ID,75.25,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
641,Boyolangu,ID,75.02,broken clouds,-8.1181,111.8935,Yos ega cv
643,Zabid,YE,82.72,clear sky,14.1951,43.3152,دار الضيافة
645,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
646,Porbandar,IN,80.44,clear sky,21.6422,69.6093,Lords Inn Porbandar
650,Hun,LY,76.62,overcast clouds,29.1268,15.9477,Alrwasi Hotel
652,Olinda,BR,78.8,moderate rain,-8.0089,-34.8553,Hotel Albergue de Olinda
659,Cravo Norte,CO,86.63,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
660,Les Cayes,HT,79.2,broken clouds,18.2,-73.75,Villa Orphee
661,Itapetinga,BR,87.03,broken clouds,-15.2489,-40.2478,Hotel Del Rey
666,San Vicente,AR,87.42,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
669,Acari,PE,80.91,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
670,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
671,Juatuba,BR,82.4,clear sky,-19.9519,-44.3428,Pousada Mangabeiras
673,Bowen,AU,75.2,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
674,Anloga,GH,87.8,few clouds,5.7947,0.8973,Pin Drop Hotel
675,Conakry,GN,89.6,haze,9.538,-13.6773,Riviera Royal Hotel
677,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
680,Saint-Paul,RE,78.8,light rain,-21.0096,55.2707,Boucan Canot
682,Siocon,PH,78.69,broken clouds,7.7061,122.1353,ABS Hotel
683,Sabha,LY,82.13,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
685,Marawi,PH,75.99,broken clouds,7.9986,124.2928,Derogongan Residence
686,Dakar,SN,82.4,clear sky,14.6937,-17.4441,Redface Studios Meublés
687,Santa Isabel,BR,82.4,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
688,Nizwa,OM,82.18,broken clouds,22.9333,57.5333,Orient Apartments
689,Grand-Santi,GF,81.14,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
692,Tautira,PF,82.4,broken clouds,-17.7333,-149.15,Pension Oaoa
693,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
694,Puerto El Triunfo,SV,89.6,few clouds,13.2833,-88.55,Hotel Jardin
697,Loandjili,CG,84.2,moderate rain,-4.7561,11.8578,Résidence ARCHANGE
698,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
704,Socorro,US,82.0,broken clouds,31.6546,-106.3033,guarderia imss papalote
705,Maraba,BR,89.6,few clouds,-5.3686,-49.1178,Hotel Del Principe
706,Howard Springs,AU,82.4,overcast clouds,-12.497,131.047,buffalo beach hostel
709,Det Udom,TH,86.0,scattered clouds,14.905999999999999,105.0784,Chatsuda Resort
712,Jiangmen,CN,75.0,clear sky,22.5833,113.0833,Palace International Hotel
713,Alugan,PH,77.9,scattered clouds,12.2188,125.4808,JM Lodge
