City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Caravelas,BR,2021-04-02 17:57:07,-17.7125,-39.2481,81.36,70,42,7.61
68,Bambari,CF,2021-04-02 17:57:07,5.768,20.6757,85.82,43,98,5.12
69,Butaritari,KI,2021-04-02 17:49:48,3.0707,172.7902,81.07,81,25,17.29
70,Guaraniacu,BR,2021-04-02 17:57:08,-25.1008,-52.8781,78.8,44,40,9.22
71,Praya,CV,2021-04-02 17:54:45,14.9215,-23.5087,86.0,26,0,18.41
72,Fort Nelson,CA,2021-04-02 17:53:47,58.8053,-122.7002,14.0,57,90,5.75
73,Mayor Pablo Lagerenza,PY,2021-04-02 17:57:08,-19.9309,-60.7718,82.27,41,95,6.11
74,Fukue,JP,2021-04-02 17:53:08,32.6881,128.8419,64.31,84,100,17.43
75,Cidreira,BR,2021-04-02 17:52:44,-30.1811,-50.2056,71.83,72,85,12.97
76,Lebu,CL,2021-04-02 17:50:11,-37.6167,-73.65,59.76,79,34,15.48
77,La Canada Flintridge,US,2021-04-02 17:54:43,34.1992,-118.1879,71.01,52,1,6.62
78,Erzin,TR,2021-04-02 17:57:09,36.9559,36.2,54.0,83,100,1.86
79,Los Llanos De Aridane,ES,2021-04-02 17:55:30,28.6585,-17.9182,68.0,73,40,12.66
80,Georgetown,MY,2021-04-02 17:51:22,5.4112,100.3354,84.2,89,20,5.99
81,Bose,IT,2021-04-02 17:57:10,45.4612,8.0137,73.4,38,0,4.61
82,Sao Filipe,CV,2021-04-02 17:54:12,14.8961,-24.4956,75.51,65,3,9.66
83,Kodiak,US,2021-04-02 17:50:19,57.79,-152.4072,32.0,34,1,4.61
84,Kungurtug,RU,2021-04-02 17:57:10,50.5994,97.5228,12.63,90,7,2.1
85,Souillac,MU,2021-04-02 17:53:51,-20.5167,57.5167,78.8,94,40,5.75
86,Longyearbyen,SJ,2021-04-02 17:54:13,78.2186,15.6401,21.2,79,75,6.91
87,Hobart,AU,2021-04-02 17:49:08,-42.8794,147.3294,62.6,63,17,14.97
88,Cairns,AU,2021-04-02 17:48:23,-16.9167,145.7667,75.2,83,40,11.5
89,Yagodnoye,RU,2021-04-02 17:57:11,62.55,149.6667,-14.87,97,62,3.83
90,Balakhninskiy,RU,2021-04-02 17:57:11,58.0106,114.2769,12.52,95,98,2.75
91,Khani,GE,2021-04-02 17:57:12,41.9563,42.9566,48.2,93,75,3.44
92,Guerrero Negro,MX,2021-04-02 17:51:27,27.9769,-114.0611,66.65,55,16,14.38
93,Victoria,HK,2021-04-02 17:52:15,22.2855,114.1577,78.01,81,2,3.24
94,Semey,KZ,2021-04-02 17:53:02,50.4111,80.2275,24.69,81,15,4.83
95,Pierre,US,2021-04-02 17:57:12,44.3683,-100.351,62.6,27,1,3.44
96,Pangnirtung,CA,2021-04-02 17:52:35,66.1451,-65.7125,-13.0,58,1,3.44
97,Akot,IN,2021-04-02 17:57:13,21.0964,77.0586,87.31,12,7,3.89
98,Carnarvon,AU,2021-04-02 17:53:13,-24.8667,113.6333,78.8,94,75,16.11
99,Cabedelo,BR,2021-04-02 17:54:47,-6.9811,-34.8339,87.8,55,0,11.5
100,Srednekolymsk,RU,2021-04-02 17:53:51,67.45,153.6833,-27.33,100,55,3.0
101,Saint George,US,2021-04-02 17:52:54,37.1041,-113.5841,73.99,22,1,2.21
102,Saskylakh,RU,2021-04-02 17:50:57,71.9167,114.0833,-37.93,100,50,3.27
103,Chokurdakh,RU,2021-04-02 17:50:17,70.6333,147.9167,-5.46,99,100,3.94
104,Berlevag,NO,2021-04-02 17:54:50,70.8578,29.0864,28.92,79,81,3.22
105,Doksy,CZ,2021-04-02 17:57:14,50.5647,14.6555,41.0,73,81,1.99
106,Mancio Lima,BR,2021-04-02 17:57:14,-7.6142,-72.8958,87.8,74,75,11.5
107,Vao,NC,2021-04-02 17:55:10,-22.6667,167.4833,74.28,88,100,30.42
108,Zaozerne,UA,2021-04-02 17:57:14,45.1582,33.2787,47.17,88,81,17.02
109,Barrow,US,2021-04-02 17:53:33,71.2906,-156.7887,-20.2,76,90,5.75
110,Bela,IN,2021-04-02 17:57:15,25.9333,81.9833,79.38,6,0,6.67
111,Sur,OM,2021-04-02 17:57:15,22.5667,59.5289,83.37,36,6,5.17
112,Panguipulli,CL,2021-04-02 17:57:15,-39.6333,-72.3333,64.4,68,75,8.05
113,Avarua,CK,2021-04-02 17:53:17,-21.2078,-159.775,78.8,83,20,6.91
114,Shache,CN,2021-04-02 17:53:45,38.4167,77.2406,43.45,57,43,4.05
115,Balykshi,KZ,2021-04-02 17:57:16,47.0667,51.8667,46.4,49,75,13.42
116,Miraflores,MX,2021-04-02 17:57:16,19.2167,-98.8083,64.4,48,75,9.22
117,Yellowknife,CA,2021-04-02 17:51:18,62.456,-114.3525,7.0,78,90,6.91
118,Maniitsoq,GL,2021-04-02 17:57:16,65.4167,-52.9,14.52,70,100,8.63
119,Hithadhoo,MV,2021-04-02 17:54:12,-0.6,73.0833,83.53,77,22,20.04
120,Jumla,NP,2021-04-02 17:57:17,29.2747,82.1838,39.61,26,1,7.02
121,Port Lincoln,AU,2021-04-02 17:54:44,-34.7333,135.8667,69.31,53,0,6.44
122,Ulladulla,AU,2021-04-02 17:54:10,-35.35,150.4667,59.0,94,10,8.05
123,Ribeira Grande,PT,2021-04-02 17:54:26,38.5167,-28.7,60.8,88,75,20.71
124,Puerto Ayora,EC,2021-04-02 17:49:50,-0.7393,-90.3518,82.4,78,20,6.91
125,Mount Isa,AU,2021-04-02 17:57:17,-20.7333,139.5,71.6,40,0,6.91
126,Vestmannaeyjar,IS,2021-04-02 17:51:06,63.4427,-20.2734,41.0,81,75,13.8
127,San Patricio,US,2021-04-02 17:53:28,28.017,-97.5169,71.01,46,75,21.85
128,Nisia Floresta,BR,2021-04-02 17:55:31,-6.0911,-35.2086,87.8,58,40,13.8
129,Tema,GH,2021-04-02 17:57:18,5.667,-0.0166,86.0,74,75,5.75
130,Auki,SB,2021-04-02 17:53:49,-8.7676,160.7034,76.91,86,82,3.85
131,Mitsamiouli,KM,2021-04-02 17:57:18,-11.3847,43.2844,82.22,77,20,9.01
132,Mindelo,CV,2021-04-02 17:57:19,16.8901,-24.9804,75.2,64,20,32.21
133,Gravdal,NO,2021-04-02 17:54:30,68.1214,13.5031,33.8,80,75,14.97
134,Aubenas,FR,2021-04-02 17:57:19,44.6201,4.3899,70.0,32,9,3.0
135,Beringovskiy,RU,2021-04-02 17:53:59,63.05,179.3167,9.41,88,97,13.09
136,Norman Wells,CA,2021-04-02 17:53:15,65.282,-126.8329,-0.4,71,75,8.05
137,Cabo San Lucas,MX,2021-04-02 17:49:31,22.8909,-109.9124,88.0,26,20,6.91
